rvbank_star_name,n_observations_rvbank,archive_hostname,planet_name,match_method,match_note,orbital_period_days,orbital_period_err_upper_days,orbital_period_err_lower_days,semi_major_axis_au,semi_major_axis_err_upper_au,semi_major_axis_err_lower_au,eccentricity,eccentricity_err_upper,eccentricity_err_lower,omega_argument_of_periastron_deg,omega_err_upper_deg,omega_err_lower_deg,rv_semi_amplitude_m_s,rv_semi_amplitude_err_upper_m_s,rv_semi_amplitude_err_lower_m_s,inclination_deg,inclination_err_upper_deg,inclination_err_lower_deg,time_of_periastron_days,transit_mid_time_days,planet_mass_mjup,planet_mass_err_upper_mjup,planet_mass_err_lower_mjup,planet_mass_provenance,planet_mass_mearth,planet_mass_err_upper_mearth,planet_radius_rearth,planet_radius_rjup,discoverymethod,disc_facility,disc_year,parameter_reference,supplemented_parameters,supplement_reference,controversial_flag,stellar_teff_k,stellar_mass_msun,stellar_radius_rsun,stellar_fe_h_dex,stellar_logg_cgs,v_magnitude,distance_pc,n_planets_in_system
HD10700,11632,tau Cet,tau Cet g,direct,,20,0.02,-0.01,0.133,0.001,-0.002,0.06,0.13,-0.06,395.341,36.096,-84.798,0.49,0.07,-0.11,,,,,,0.00550609,0.00078658,-0.00125853,Msini,1.75,0.25,1.18,0.105,Radial Velocity,Multiple Observatories,2017,Feng et al. 2017,,,1,5310,0.783,0.83,-0.52,4.52,3.49607,3.60304,3
HD10700,11632,tau Cet,tau Cet f,direct,,636.13,11.7,-47.69,1.334,0.017,-0.044,0.16,0.07,-0.16,119.75,41.25,-70.47,0.35,0.1,-0.12,,,,,,0.0123651,0.00330365,-0.00431048,Msini,3.93,1.05,1.81,0.161,Radial Velocity,Multiple Observatories,2017,Feng et al. 2017,,,1,5310,0.783,0.83,-0.52,4.52,3.49607,3.60304,3
HD10700,11632,tau Cet,tau Cet h,direct,,49.41,0.08,-0.1,0.243,0.003,-0.003,0.23,0.16,-0.15,7.45,37.24,-48.13,0.39,0.15,-0.06,,,,,,0.0057578,0.00213951,-0.00081805,Msini,1.83,0.68,1.19,0.106,Radial Velocity,Multiple Observatories,2017,Feng et al. 2017,,,1,5310,0.783,0.83,-0.52,4.52,3.49607,3.60304,3
HD20794,6824,HD 20794,HD 20794 f,direct,,647.6,2.5,-2.7,1.3541,0.0068,-0.0068,0.45,0.1,-0.11,,,,0.567,0.067,-0.064,,,,,2459933,0.01831177,0.00179342,-0.00179342,Msini,5.82,0.57,2.28,0.203,Radial Velocity,Multiple Observatories,2025,Nari et al. 2025,,,0,5368,0.79,0.93,-0.42,4.39,4.26,6.00278,4
HD20794,6824,HD 20794,HD 20794 d,direct,,89.68,0.1,-0.1,0.3625,0.0015,-0.0016,0.077,0.084,-0.055,54,25,-22,0.502,0.048,-0.049,90,,,,2460356.2,0.015,0.002,-0.002,Msin(i)/sin(i),4.8,0.6,2.04,0.182,Radial Velocity,La Silla Observatory,2011,Pepe et al. 2011,,,0,5368,0.79,0.93,-0.42,4.39,4.26,6.00278,4
HD20794,6824,HD 20794,HD 20794 b,direct,,18.314,0.0022,-0.0022,0.1257,0.00052,-0.00053,0.064,0.065,-0.046,25,30,-28,0.614,0.048,-0.048,90,,,,2460383.26,0.0085,0.0009,-0.0009,Msin(i)/sin(i),2.7,0.3,1.45,0.129,Radial Velocity,La Silla Observatory,2011,Pepe et al. 2011,,,0,5368,0.79,0.93,-0.42,4.39,4.26,6.00278,4
HD20794,6824,HD 20794,HD 20794 e,direct,,147.02,1.43,-0.91,0.509,0.006,-0.006,0.29,0.14,-0.18,268.14,48.13,-32.66,0.69,0.15,-0.13,,,,,,0.01500802,0.00302048,-0.00270585,Msini,4.77,0.96,2.03,0.181,Radial Velocity,La Silla Observatory,2017,Feng et al. 2017,,,1,5401,0.813,0.93,-0.4,4.39,4.26,6.00278,4
GJ219.0,6158,bet Pic,bet Pic b,simbad,,8682,55,-58,10.07,0.03,-0.03,0.105,0.004,-0.003,23.7,3.1,-2.6,78.791,15.672,-14.126,88.993,0.01,-0.011,2447959.05,,8.7,2.6,-2.5,Mass,2765.107141,826.3538582,18.49485,1.65,Imaging,Paranal Observatory,2008,Lagrange et al. 2009,,,0,8038.68,1.789,1.54416,-0.21,4.35072,3.85,19.7442,3
GJ219.0,6158,bet Pic,bet Pic c,simbad,,1202,26,-11,2.7,0.03,-0.03,0.307,0.019,-0.025,-114.9,2.6,-2.4,137.999,16.442,-15.079,88.93,0.11,-0.09,2458632.35,,8.7,0.8,-0.7,Mass,2765.107141,254.2627256,12.5,1.12,Radial Velocity,La Silla Observatory,2019,Lagrange et al. 2019,,,0,8038.68,1.789,1.54416,-0.21,4.35072,3.85,19.7442,3
GJ219.0,6158,bet Pic,bet Pic d,simbad,,33200,6600,-9900,26,2.2,-6.1,0.44,,,191,127,-149,,,,89,0.7,-0.6,2452641,,2.4,0.6,-0.6,Mass,762.7881768,190.6970442,14.12331568,1.26,Imaging,Paranal Observatory,2026,Sutlieff et al. 2026,,,0,8038.68,1.789,1.54416,-0.21,4.35072,3.85,19.7442,3
GJ845,4634,eps Ind A,eps Ind A b,simbad,,25450,4387,-3302,15.76,1.73,-1.39,0.25,0.09,-0.09,-28.13,15.32,-17.02,29.22,5.45,-6.07,102.18,1.72,-1.67,2441420.76,,6.5,0.72,-0.59,Mass,2065.884645,228.836453,12.7,1.13,Radial Velocity,La Silla Observatory,2019,Feng et al. 2019,,,0,4700,0.8,0.713,-0.17,5.25,4.69,3.63857,1
GJ691,3012,HD 160691,HD 160691 b,simbad,,645,0.3,-0.3,1.5,0.02,-0.02,0.0505,0.0094,-0.0093,39,16,-16,36.1,0.2,-0.2,60,,,2452396,2453765.6,4.3,,,Mass,1366.66215,,,,Radial Velocity,Anglo-Australian Telescope,2000,Butler et al. 2001,,,0,5773,1.13,1.33,0.28,4.2,5.12,15.5981,4
GJ691,3012,HD 160691,HD 160691 c,simbad,,3947,23,-23,4.17,0.07,-0.07,0.039,0.011,-0.011,84,36,-36,22.18,0.25,-0.25,60,,,2453264,2453237,4.4,,,Mass,1398.444991,,,,Radial Velocity,Anglo-Australian Telescope,2004,McCarthy et al. 2004,,,0,5773,1.13,1.33,0.28,4.2,5.12,15.5981,4
GJ691,3012,HD 160691,HD 160691 d,simbad,,9.6392,0.0006,-0.0006,0.0952,0.0018,-0.0018,0,0.02,-0.02,197,20,-20,2.94,0.17,-0.17,,,,2400052,2455205.15,0.03300523,0.00261147,-0.00254855,Msini,10.49,0.83,3.23,0.288,Radial Velocity,La Silla Observatory,2004,Santos et al. 2004,,,0,5773,1.13,1.33,0.28,4.2,5.12,15.5981,4
GJ691,3012,HD 160691,HD 160691 e,simbad,,307.9,0.3,-0.3,0.96,0.018,-0.018,0.0666,0.0122,-0.0122,193,10,-10,12.23,0.27,-0.27,60,,,2452720,2454483.8,7,,,Mass,2224.798849,,,,Radial Velocity,La Silla Observatory,2006,Pepe et al. 2007,,,0,5773,1.13,1.33,0.28,4.2,5.12,15.5981,4
GJ108,2114,HR 810,HR 810 b,simbad,,302.79999,2.3,-2.3,0.92,0.02,-0.02,0.14,0.13,-0.13,309,5,-5,57.1,5.2,-5.2,87,6,-6,2451492.8,2451908.6,6.2,0.5,-0.5,Mass,1970.536123,158.9142035,12.7,1.14,Radial Velocity,La Silla Observatory,1999,Kurster et al. 2000,,,0,6167,1.34,1.13,0.16,4.46,5.4,17.3181,1
GJ785,1821,HD 192310,HD 192310 b,simbad,,74.72,0.1,-0.1,0.32,0.005,-0.005,0.13,0.04,-0.04,173,20,-20,3,0.12,-0.12,90,,,2455164.3,2455767.85,0.0532,0.0028,-0.0028,Msin(i)/sin(i),16.9,0.9,4.27,0.381,Radial Velocity,La Silla Observatory,2011,Pepe et al. 2011,,,0,5166,0.8,0.857922,-0.04,4.51,5.73,8.79687,2
GJ785,1821,HD 192310,HD 192310 c,simbad,,525.8,9.2,-9.2,1.18,0.025,-0.025,0.32,0.11,-0.11,110,21,-21,2.27,0.28,-0.28,90,,,,2455256,0.076,0.016,-0.016,Msin(i)/sin(i),24,5,5.25,0.469,Radial Velocity,La Silla Observatory,2011,Pepe et al. 2011,,,0,5166,0.8,0.857922,-0.04,4.51,5.73,8.79687,2
GJ128,1738,HD 19994,HD 19994 b,simbad,,466.2,1.7,-1.7,1.305,0.016,-0.016,0.063,0.062,-0.062,346,55,-55,29.3,2.1,-2.1,,,,2453757,,1.37,0.12,-0.12,Msini,435.41,38.14,13.6,1.21,Radial Velocity,La Silla Observatory,2003,Mayor et al. 2004,,,0,6188,1.365,1.79647,0.27,4.29,5.06345,22.5242,1
GJ506,1242,61 Vir,61 Vir b,simbad,,4.215,0.0006,-0.0006,0.050201,5e-06,-5e-06,0.12,0.11,-0.11,105,54,-54,2.12,0.23,-0.23,,,,,2455200.597,0.016,0.002,-0.002,Msini,5.1,0.5,2.11,0.188,Radial Velocity,Multiple Observatories,2009,Vogt et al. 2010,,,0,5577,0.942,0.963,-0.01,4.34,4.6955,8.50332,3
GJ506,1242,61 Vir,61 Vir c,simbad,,38.021,0.034,-0.034,0.2175,0.0001,-0.0001,0.14,0.06,-0.06,341,38,-38,3.62,0.23,-0.23,,,,,2455036.24,0.057,0.003,-0.003,Msini,18.2,1.1,4.46,0.398,Radial Velocity,Multiple Observatories,2009,Vogt et al. 2010,,,0,5577,0.942,0.963,-0.01,4.34,4.6955,8.50332,3
GJ506,1242,61 Vir,61 Vir d,simbad,,123.01,0.55,-0.55,0.476,0.001,-0.001,0.35,0.09,-0.09,314,20,-20,3.25,0.39,-0.39,,,,,2455245.8,0.072,0.008,-0.008,Msini,22.9,2.6,5.11,0.456,Radial Velocity,Multiple Observatories,2009,Vogt et al. 2010,,,0,5577,0.942,0.963,-0.01,4.34,4.6955,8.50332,3
HD46375A,1158,HD 46375,HD 46375 b,simbad,,3.023573,6.5e-05,-6.5e-05,0.0398,0.0023,-0.0023,0.063,0.026,-0.026,114,24,-24,33.65,0.74,-0.74,,,,2451071.53,2452571.044,0.226,0.019,-0.019,Msini,71.8,6,10,0.894,Radial Velocity,W. M. Keck Observatory,2000,Marcy et al. 2000,,,0,5285,0.92,0.914196,0.24,4.533,7.91,29.5529,1
HD22049,761,eps Eri,eps Eri b,direct,,2680,30,-30,3.53,0.04,-0.04,0.06,0.06,-0.04,268,62,-105,18.5,0.2,-0.2,40,6,-5,2458017.5,2457388,1,0.1,-0.1,Mass,317.828407,31.7828407,13.8,1.23,Radial Velocity,Multiple Observatories,2000,Hatzes et al. 2000,,,0,5020.38,0.82,0.759106,-0.13,4.5901,3.71548,3.2026,1
GJ302,728,HD 69830,HD 69830 c,simbad,,31.56,0.04,-0.04,0.186,,,0.13,0.06,-0.06,221,35,-35,2.66,0.16,-0.16,,,,2453469.6,2455197.28,0.0371,,,Msini,11.8,,3.46,0.309,Radial Velocity,La Silla Observatory,2006,Lovis et al. 2006,,,0,5385,0.86,0.886947,-0.05,4.490299,5.96004,12.5591,3
GJ302,728,HD 69830,HD 69830 b,simbad,,8.667,0.003,-0.003,0.0785,,,0.1,0.04,-0.04,340,26,-26,3.51,0.15,-0.15,,,,2453496.8,2455995.87,0.0321,,,Msini,10.2,,3.17,0.283,Radial Velocity,La Silla Observatory,2006,Lovis et al. 2006,,,0,5385,0.86,0.886947,-0.05,4.490299,5.96004,12.5591,3
GJ302,728,HD 69830,HD 69830 d,simbad,,197,3,-3,0.63,,,0.07,0.07,-0.07,224,61,-61,2.2,0.19,-0.19,,,,2453358,2455304.1,0.057,,,Msini,18.1,,4.45,0.397,Radial Velocity,La Silla Observatory,2006,Lovis et al. 2006,,,0,5385,0.86,0.886947,-0.05,4.490299,5.96004,12.5591,3
GJ887,715,GJ 887,GJ 887 e,direct,,4.4249,0.00014,-0.00013,0.0417,0.0014,-0.0015,,,,,,,0.91,0.1,-0.1,,,,,2453488.05,0.00459367,0.00059781,-0.00056634,Msini,1.46,0.19,1.12,0.0999,Radial Velocity,Multiple Observatories,2026,Hartogh et al. 2026,,,0,3688,0.495,0.468,-0.06,4.156,7.56,3.28679,4
GJ887,715,GJ 887,GJ 887 c,direct,,21.784,0.004,-0.004,0.121,0.004,-0.005,0.17,0.06,-0.06,200,110,-140,2.54,0.27,-0.27,,,,,2453498.2,0.02045129,0.00314635,-0.00283172,Msini,6.5,1,2.43,0.217,Radial Velocity,La Silla Observatory,2020,Jeffers et al. 2020,,,0,3688,0.495,0.468,-0.06,4.156,7.56,3.28679,4
GJ887,715,GJ 887,GJ 887 b,direct,,9.2619,0.0005,-0.0005,0.0683,0.0022,-0.0024,0.14,0.06,-0.06,180,130,-130,2,0.17,-0.17,,,,,2453492.75,0.01227077,0.00157318,-0.00157318,Msini,3.9,0.5,1.8,0.161,Radial Velocity,La Silla Observatory,2020,Jeffers et al. 2020,,,0,3688,0.495,0.468,-0.06,4.156,7.56,3.28679,4
GJ887,715,GJ 887,GJ 887 d,direct,,50.77,0.05,-0.05,0.212,0.007,-0.008,,,,,,,1.7,0.4,-0.4,,,,,2453496,0.01919275,0.00440489,-0.00440489,Msini,6.1,1.4,2.34,0.209,Radial Velocity,Multiple Observatories,2026,Hartogh et al. 2026,,,0,3688,0.495,0.468,-0.06,4.156,7.56,3.28679,4
HD136352,677,HD 136352,HD 136352 c,direct,,27.59221,0.00011,-0.00011,0.1721,0.005,-0.005,0,,,-110.22,74.58,-75.76,2.61,0.12,-0.12,88.571,0.042,-0.045,2455490.057,2458954.41,0.03536499,0.00204513,-0.0019822,Mass,11.24,0.65,2.916,0.26014854,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5664,0.87,1.058,-0.24,4.39,5.65,14.682,3
HD136352,677,HD 136352,HD 136352 b,direct,,11.57797,8e-05,-0.00013,0.0964,0.0028,-0.0028,0,,,-185.64,35.97,-37.67,1.46,0.12,-0.12,88.49,0.17,-0.15,2455496.701,2458944.373,0.01485078,0.00132147,-0.00132147,Mass,4.72,0.42,1.664,0.14845239,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5664,0.87,1.058,-0.24,4.39,5.65,14.682,3
HD136352,677,HD 136352,HD 136352 d,direct,,107.245,0.05,-0.05,0.425,0.012,-0.012,0,,,170.89,63.23,-76.56,1.3,0.13,-0.13,89.73,0.14,-0.09,2455494.978,2459009.776,0.02775082,0.00292611,-0.00289464,Mass,8.82,0.93,2.562,0.22856672,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5664,0.87,1.058,-0.24,4.39,5.65,14.682,3
GJ776,659,HD 189567,HD 189567 b,simbad,,14.288,0.002,-0.002,0.111,0.002,-0.002,0.189,,,140,63,-63,2.53,0.18,-0.18,,,,2455509,2455477.54,0.02674399,0.00188781,-0.00188781,Msini,8.5,0.6,2.85,0.254,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5726,0.83,1.04,-0.24,4.41,6.074,17.9055,2
GJ776,659,HD 189567,HD 189567 c,simbad,,33.688,0.025,-0.025,0.197,0.003,-0.003,0.16,0.09,-0.09,219,58,-58,1.6,0.2,-0.2,,,,2455502,2455187.3,0.02202446,0.00283172,-0.00283172,Msini,7,0.9,2.54,0.227,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5726,0.83,1.04,-0.24,4.41,6.074,17.9055,2
HD39091,553,HD 39091,HD 39091 b,direct,,2088.8,0.4,-0.4,3.28,0.04,-0.04,0.642,0.001,-0.001,-30.1,0.3,-0.3,196.1,0.7,-0.7,45.8,1.4,-1.1,2458388.6,2458632.6,14.1,0.5,-0.4,Mass,4481.380539,158.9142035,12.3,1.1,Radial Velocity,Anglo-Australian Telescope,2001,Jones et al. 2002,,,0,5998,1.07,1.17,0.09,4.43,5.65,18.2702,3
HD39091,553,HD 39091,pi Men d,direct,,124.64,0.48,-0.52,0.506,0.012,-0.013,0.22,0.079,-0.079,323,25,-73,1.68,0.17,-0.17,,,,2457595.46,2455218.6,0.04209819,0.00424758,-0.00424758,Msini,13.38,1.35,3.72,0.332,Radial Velocity,La Silla Observatory,2022,Hatzes et al. 2022,,,0,5998,1.07,1.19,0.09,4.36,5.65,18.2702,3
HD39091,553,HD 39091,pi Men c,direct,,6.2678399,1.1e-05,-1.1e-05,0.06839,0.0005,-0.0005,0,,,0,,,1.185,0.115,-0.109,87.045,0.157,-0.156,2458519.807,2458425.789,0.01142126,0.00119561,-0.00119561,Mass,3.63,0.38,2.0189,0.1801145,Transit,Transiting Exoplanet Survey Satellite (TESS),2018,Gandolfi et al. 2018,,,0,5998,1.07,1.17,0.09,4.43,5.65,18.2702,3
HD1461,487,HD 1461,HD 1461 b,direct,,5.77152,0.00045,-0.00045,0.0634,0.0022,-0.0022,0.172,,,-10,74,-56,2.28,0.15,-0.15,,,,2450366.936,2455839.37,0.0202624,0.00191927,-0.00191927,Msini,6.44,0.61,2.42,0.216,Radial Velocity,W. M. Keck Observatory,2010,Rivera et al. 2010,,,0,5765,1.02,1.152288,0.19,4.38,6.47933,23.4534,2
HD1461,487,HD 1461,HD 1461 c,direct,,13.5052,0.0029,-0.0029,0.1117,0.0039,-0.0039,0.305,,,22,41,-74,1.49,0.17,-0.17,,,,,2455200.11,0.01758802,0.00229683,-0.00229683,Msini,5.59,0.73,2.23,0.199,Radial Velocity,La Silla Observatory,2015,D&iacute;az et al. 2016,,,0,5765,1.02,1.152288,0.19,4.38,6.47933,23.4534,2
GJ2046,478,HD 40307,HD 40307 b,simbad,,4.3123,0.0011,-0.0012,0.0468,0.0024,-0.0023,0.2,0.14,-0.16,194.8,45.8,-57.3,1.94,0.31,-0.27,0.2022,,,,,3.741,,,Mass,1188.996071,,,,Radial Velocity,La Silla Observatory,2009,Mayor et al. 2009,,,0,4956,0.77,0.716684,-0.31,4.47,7.17,12.9363,5
GJ2046,478,HD 40307,HD 40307 c,simbad,,9.6184,0.005,-0.0049,0.0799,0.004,-0.004,0.06,0.11,-0.06,234.9,,,2.45,0.3,-0.28,0.2109,,,,,5.879,,,Mass,1868.513205,,,,Radial Velocity,La Silla Observatory,2009,Mayor et al. 2009,,,0,4956,0.77,0.716684,-0.31,4.47,7.17,12.9363,5
GJ2046,478,HD 40307,HD 40307 d,simbad,,20.432,0.022,-0.024,0.1321,0.0066,-0.0066,0.07,0.11,-0.07,17.2,,,2.75,0.35,-0.35,0.2855,,,,,5.586,,,Mass,1775.389482,,,,Radial Velocity,La Silla Observatory,2009,Mayor et al. 2009,,,0,4956,0.77,0.716684,-0.31,4.47,7.17,12.9363,5
GJ2046,478,HD 40307,HD 40307 f,simbad,,51.76,0.5,-0.46,0.247,0.011,-0.014,0.02,0.2,-0.02,355.2,,,1.09,0.28,-0.32,,,,,,0.0164,0.0047,-0.005,Msini,5.2,1.5,2.13,0.19,Radial Velocity,La Silla Observatory,2013,Tuomi et al. 2013,,,0,4956,0.77,0.716684,-0.31,4.47,7.17,12.9363,5
GJ2046,478,HD 40307,HD 40307 g,simbad,,197.8,5.7,-9,0.6,0.034,-0.033,0.29,0.31,-0.29,91.7,,,0.95,0.32,-0.3,,,,,,0.0223,0.0082,-0.0082,Msini,7.1,2.6,2.56,0.229,Radial Velocity,La Silla Observatory,2013,Tuomi et al. 2013,,,1,4956,0.77,0.716684,-0.31,4.47,7.17,12.9363,5
GJ551,414,Proxima Cen,Proxima Cen d,simbad,,5.12338,0.00035,-0.00035,0.02881,0.00017,-0.00017,0,,,4,2,-1.7,0.392,0.057,-0.057,,,,2460557.55,,0.00081805,0.00011956,-0.00011956,Msini,0.26,0.038,0.692,0.0618,Radial Velocity,La Silla Observatory,2025,Su&aacute;rez Mascare&ntilde;o et al. 2025,,,0,2900,0.1221,0.141,,5.16372,11.01,1.30119,2
GJ551,414,Proxima Cen,Proxima Cen b,simbad,,11.18465,0.00053,-0.00053,0.04848,0.00029,-0.00029,0,,,3.3,1.8,-2.3,1.226,0.062,-0.062,,,,2460548.59,2457897.9,0.0033194,0.00017305,-0.00017305,Msini,1.055,0.055,1.02,0.0913,Radial Velocity,European Southern Observatory,2016,Anglada-Escud&eacute; et al. 2016,,,0,2900,0.1221,0.141,,5.16372,11.01,1.30119,2
HD133112,412,WASP-189,WASP-189 b,direct,,2.724033,,,0.05053,0.00098,-0.00098,0,,,,,,182,13,-13,84.03,0.14,-0.14,,2458926.542,1.99,0.16,-0.14,Mass,632.4785299,50.85254512,18.14733975,1.619,Transit,CHaracterising ExOPlanets Satellite (CHEOPS),2020,Lendl et al. 2020,,,0,8000,2.03,2.36,0.29,3.9,6.59776,99.731,1
GJ191,378,Kapteyn,Kapteyn c,simbad,,121.54,0.25,-0.25,0.311,0.038,-0.014,0.23,0.1,-0.12,3.9,28.9,-33.2,2.27,0.28,-0.26,,,,,,0.022,0.004,-0.003,Msini,7,1.2,2.54,0.227,Radial Velocity,Multiple Observatories,2014,Anglada-Escud&eacute; et al. 2014,,,1,3550,0.281,0.291,-0.89,4.92351,8.86,3.93305,1
